Time ,BoardSN ,21SN ,MAC ,OBSCResult ,CheckResult ,UpgradeType ,VersionPkg,VersionPkgSize
"2026-05-16 11:14:19","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","Ext","1808512"
"2026-05-16 11:14:39","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","Ext","1808512"
"2026-05-16 11:14:58","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","Ext","1808512"
"2026-05-16 11:15:18","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","Ext","1808512"
"2026-05-16 11:15:39","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","Ext","1808512"
"2026-05-16 11:15:59","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","Ext","1808512"
"2026-05-16 11:18:03","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 11:18:25","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 11:18:44","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 11:19:04","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 11:19:26","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 11:19:45","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 11:22:42","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","17650"
"2026-05-16 11:22:54","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","17650"
"2026-05-16 11:23:05","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","17650"
"2026-05-16 11:23:18","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","17650"
"2026-05-16 11:23:29","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","17650"
"2026-05-16 11:23:42","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","17650"
"2026-05-16 11:26:23","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:26:45","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:27:07","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:27:28","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:36:24","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:36:46","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:37:08","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:37:29","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:37:51","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:38:13","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","OpenTelnet","V5","2077214"
"2026-05-16 11:41:40","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 11:41:59","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 12:24:44","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 12:25:04","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 12:25:25","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 12:25:45","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 12:26:05","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
"2026-05-16 12:26:24","028HHFHYM4004155","2150084230HYM4001386","482C-D05F-1EA3","0xf720404e","0","UpgradeBin","","1808512"
